fid,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,COUNTY_NAME,STATE_ABB,STATE_NAME,county_code,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,Winner2016,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,Winner2020,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,geom_Length,geom_Area
1,37,017,01026336,0500000US37017,37017,Bladen,06,0,33010866,Bladen,NC,North Carolina,37017,Bladen,NC,0.541000000000000,0.446000000000000,Trump,15743.000000000000000,8511.000000000000000,7021.000000000000000,0.566000000000000,0.428000000000000,Trump,17009.000000000000000,9623.000000000000000,7281.000000000000000,34.612962430000003,-78.561800590000004,1105.000000000000000,19.000000000000000,34130.000000000000000,16241.000000000000000,17889.000000000000000,7.500000000000000,54.200000000000003,34.399999999999999,2.300000000000000,0.000000000000000,0.000000000000000,25634.000000000000000,32396.000000000000000,2931.000000000000000,20839.000000000000000,1436.000000000000000,24.500000000000000,34.899999999999999,25.199999999999999,20.500000000000000,19.000000000000000,16.600000000000001,18.800000000000001,85.700000000000003,9.900000000000000,0.200000000000000,0.800000000000000,0.600000000000000,2.800000000000000,24.699999999999999,13263.000000000000000,74.500000000000000,19.300000000000001,6.000000000000000,0.200000000000000,7.900000000000000,2.071392976498392,0.223970803853485
2,37,167,01025844,0500000US37167,37167,Stanly,06,1023370459,25242751,Stanly,NC,North Carolina,37167,Stanly,NC,0.740000000000000,0.238000000000000,Trump,29451.000000000000000,21788.000000000000000,7008.000000000000000,0.752000000000000,0.239000000000000,Trump,33624.000000000000000,25297.000000000000000,8037.000000000000000,35.316478130000000,-80.250932210000002,2468.000000000000000,73.000000000000000,60875.000000000000000,30309.000000000000000,30566.000000000000000,4.000000000000000,81.200000000000003,11.100000000000000,0.300000000000000,1.900000000000000,0.000000000000000,46489.000000000000000,46017.000000000000000,2247.000000000000000,23398.000000000000000,739.000000000000000,15.699999999999999,23.899999999999999,28.800000000000001,21.199999999999999,20.399999999999999,12.900000000000000,16.699999999999999,83.500000000000000,9.500000000000000,0.200000000000000,1.500000000000000,1.100000000000000,4.100000000000000,25.699999999999999,27689.000000000000000,76.299999999999997,16.000000000000000,7.500000000000000,0.200000000000000,8.000000000000000,1.413706632030707,0.104022626622008
3,39,153,01074088,0500000US39153,39153,Summit,06,1069181981,18958267,Summit,OH,Ohio,39153,Summit,OH,0.438000000000000,0.520000000000000,Hillary,249937.000000000000000,109531.000000000000000,129922.000000000000000,0.445000000000000,0.541000000000000,Biden,273915.000000000000000,122023.000000000000000,148151.000000000000000,41.124647340000003,-81.531230789999995,7580.000000000000000,272.000000000000000,541318.000000000000000,262534.000000000000000,278784.000000000000000,2.000000000000000,77.799999999999997,14.400000000000000,0.200000000000000,3.000000000000000,0.000000000000000,412765.000000000000000,53291.000000000000000,806.000000000000000,30803.000000000000000,420.000000000000000,13.600000000000000,19.199999999999999,37.500000000000000,17.000000000000000,26.100000000000001,6.200000000000000,13.199999999999999,85.900000000000006,6.900000000000000,1.800000000000000,1.300000000000000,0.600000000000000,3.500000000000000,22.800000000000001,264003.000000000000000,85.000000000000000,10.699999999999999,4.300000000000000,0.100000000000000,6.400000000000000,1.484157178910030,0.117675098214002
4,42,113,01213687,0500000US42113,42113,Sullivan,06,1165338428,6617028,Sullivan,PA,Pennsylvania,42113,Sullivan,PA,0.732000000000000,0.239000000000000,Trump,3168.000000000000000,2318.000000000000000,756.000000000000000,0.729000000000000,0.256000000000000,Trump,3599.000000000000000,2622.000000000000000,921.000000000000000,41.446347379999999,-76.512465910000003,21.000000000000000,1.000000000000000,6192.000000000000000,3234.000000000000000,2958.000000000000000,1.800000000000000,93.099999999999994,2.500000000000000,0.500000000000000,0.500000000000000,0.000000000000000,5382.000000000000000,45519.000000000000000,2789.000000000000000,26720.000000000000000,1348.000000000000000,13.100000000000000,17.100000000000001,25.000000000000000,17.899999999999999,18.300000000000001,21.300000000000001,17.600000000000001,78.400000000000006,11.100000000000000,0.100000000000000,2.700000000000000,0.300000000000000,7.400000000000000,31.500000000000000,2612.000000000000000,74.900000000000006,13.900000000000000,10.500000000000000,0.700000000000000,8.800000000000001,1.522942506973026,0.126334301396509
5,48,459,01384015,0500000US48459,48459,Upshur,06,1509910100,24878888,Upshur,TX,Texas,48459,Upshur,TX,0.829000000000000,0.149000000000000,Trump,15918.000000000000000,13198.000000000000000,2378.000000000000000,0.837000000000000,0.152000000000000,Trump,18850.000000000000000,15775.000000000000000,2869.000000000000000,32.737067979999999,-94.939998529999997,516.000000000000000,15.000000000000000,40506.000000000000000,20035.000000000000000,20471.000000000000000,8.100000000000000,80.700000000000003,8.900000000000000,0.700000000000000,0.200000000000000,0.000000000000000,29790.000000000000000,48796.000000000000000,2647.000000000000000,24088.000000000000000,1297.000000000000000,13.800000000000001,20.300000000000001,29.100000000000001,15.600000000000000,25.199999999999999,13.100000000000000,17.000000000000000,83.500000000000000,10.300000000000001,0.200000000000000,0.700000000000000,1.300000000000000,4.000000000000000,27.800000000000001,16720.000000000000000,80.099999999999994,12.400000000000000,7.200000000000000,0.300000000000000,8.300000000000001,1.568901061759694,0.146995466112991
6,48,049,01383810,0500000US48049,48049,Brown,06,0,32375524,Brown,TX,Texas,48049,Brown,TX,0.861000000000000,0.116000000000000,Trump,13949.000000000000000,12010.000000000000000,1621.000000000000000,0.858000000000000,0.132000000000000,Trump,15940.000000000000000,13681.000000000000000,2103.000000000000000,31.774303560000000,-98.999071130000004,701.000000000000000,28.000000000000000,37787.000000000000000,18741.000000000000000,19046.000000000000000,21.500000000000000,72.700000000000003,3.600000000000000,0.200000000000000,0.600000000000000,0.000000000000000,27983.000000000000000,43062.000000000000000,1925.000000000000000,24040.000000000000000,1409.000000000000000,16.399999999999999,24.699999999999999,33.500000000000000,17.699999999999999,22.000000000000000,10.800000000000001,16.100000000000001,86.299999999999997,8.900000000000000,0.300000000000000,1.500000000000000,0.600000000000000,2.300000000000000,17.300000000000001,15238.000000000000000,76.900000000000006,15.100000000000000,8.000000000000000,0.000000000000000,4.300000000000000,1.987300115860224,0.234490524534505
7,45,021,01247987,0500000US45021,45021,Cherokee,06,1018732778,11714267,Cherokee,SC,South Carolina,45021,Cherokee,SC,0.697000000000000,0.280000000000000,Trump,21754.000000000000000,15165.000000000000000,6089.000000000000000,0.714000000000000,0.276000000000000,Trump,25270.000000000000000,18043.000000000000000,6983.000000000000000,35.051222510000002,-81.618286220000002,1558.000000000000000,52.000000000000000,56549.000000000000000,27527.000000000000000,29022.000000000000000,4.100000000000000,73.099999999999994,19.899999999999999,0.100000000000000,0.600000000000000,0.100000000000000,42586.000000000000000,35286.000000000000000,2263.000000000000000,20516.000000000000000,1478.000000000000000,22.000000000000000,31.699999999999999,25.600000000000001,15.900000000000000,24.899999999999999,8.400000000000000,25.199999999999999,87.299999999999997,9.100000000000000,0.200000000000000,1.500000000000000,0.800000000000000,1.200000000000000,22.100000000000001,21599.000000000000000,82.700000000000003,12.699999999999999,4.100000000000000,0.400000000000000,7.800000000000000,1.510314019111907,0.101798193001728
8,01,043,00161547,0500000US01043,01043,Cullman,06,1903073019,52422496,Cullman,AL,Alabama,01043,Cullman,AL,0.878000000000000,0.100000000000000,Trump,37278.000000000000000,32734.000000000000000,3730.000000000000000,0.882000000000000,0.107000000000000,Trump,41751.000000000000000,36804.000000000000000,4454.000000000000000,34.130203029999997,-86.868880369999999,2831.000000000000000,25.000000000000000,81703.000000000000000,40223.000000000000000,41480.000000000000000,4.200000000000000,92.299999999999997,1.100000000000000,0.400000000000000,0.600000000000000,0.000000000000000,62012.000000000000000,40997.000000000000000,1715.000000000000000,21857.000000000000000,729.000000000000000,16.399999999999999,19.600000000000001,29.300000000000001,14.600000000000000,23.399999999999999,14.000000000000000,18.600000000000001,88.299999999999997,8.400000000000000,0.100000000000000,0.600000000000000,0.600000000000000,2.000000000000000,26.500000000000000,32072.000000000000000,81.299999999999997,11.900000000000000,6.300000000000000,0.400000000000000,5.800000000000000,2.000326161077823,0.193620327287996
9,54,023,01697238,0500000US54023,54023,Grant,06,1236390677,7545525,Grant,WV,West Virginia,54023,Grant,WV,0.877000000000000,0.103000000000000,Trump,4945.000000000000000,4338.000000000000000,510.000000000000000,0.884000000000000,0.110000000000000,Trump,5509.000000000000000,4871.000000000000000,607.000000000000000,39.103148169999997,-79.194405180000004,199.000000000000000,8.000000000000000,11673.000000000000000,5844.000000000000000,5829.000000000000000,1.000000000000000,96.799999999999997,1.600000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9417.000000000000000,40093.000000000000000,3382.000000000000000,21705.000000000000000,1654.000000000000000,12.699999999999999,12.100000000000000,25.500000000000000,18.000000000000000,17.399999999999999,14.600000000000000,24.500000000000000,82.299999999999997,9.900000000000000,1.000000000000000,2.900000000000000,0.100000000000000,3.700000000000000,27.600000000000001,4823.000000000000000,76.700000000000003,16.699999999999999,6.500000000000000,0.100000000000000,5.200000000000000,1.824232851329412,0.129981957434911
10,46,055,01266988,0500000US46055,46055,Haakon,06,0,42449843,Haakon,SD,South Dakota,46055,Haakon,SD,0.897000000000000,0.074000000000000,Trump,1044.000000000000000,936.000000000000000,77.000000000000000,0.902000000000000,0.092000000000000,Trump,1137.000000000000000,1026.000000000000000,105.000000000000000,44.292990529999997,-101.539098999999993,104.000000000000000,2.000000000000000,2084.000000000000000,1047.000000000000000,1037.000000000000000,0.500000000000000,88.700000000000003,0.000000000000000,7.700000000000000,0.000000000000000,0.000000000000000,1554.000000000000000,38873.000000000000000,2266.000000000000000,22863.000000000000000,3016.000000000000000,17.199999999999999,27.300000000000001,37.399999999999999,13.100000000000000,18.699999999999999,16.500000000000000,14.300000000000001,67.500000000000000,3.600000000000000,0.000000000000000,10.100000000000000,0.000000000000000,18.800000000000001,11.500000000000000,902.000000000000000,62.399999999999999,13.300000000000001,23.699999999999999,0.600000000000000,2.200000000000000,3.301247640132594,0.533875200748005
